bp	data_stats...col_RsbN...k.
181308	-3.390921
182761	-3.117981
286000	-3.163113
286153	-3.0537
715901	-4.034031
715904	-3.543164
1447449	-3.130015
1448756	-3.020673
1449914	-3.038493
1449936	-2.997233
1452561	-3.125464
1453142	-3.382373
1453143	-3.145893
1453152	-3.034896
1453171	-3.226674
1453366	-3.130589
1453420	-3.228283
1453472	-3.228283
1453590	-3.02907
1804478	-3.106128
1817344	-3.144797
1817350	-3.244305
1817949	-3.79837
1821807	-3.148897
1821823	-3.185421
1821852	-3.185421
1822006	-3.185213
1822010	-3.185213
1822269	-3.172368
1890922	-3.068192
1891033	-4.327211
1891148	-4.134732
1891222	-5.258103
1891235	-4.021864
1891238	-4.361471
1891244	-5.0488
1891248	-6.343759
1891310	-5.377262
1891342	-5.62691
1891383	-4.960191
1891485	-3.828237
1891558	-4.581578
1891577	-4.605737
1891613	-3.525728
1891787	-4.116674
1891846	-4.215425
1891849	-4.980289
1891970	-4.581093
1891978	-3.310087
1919451	-3.141674
1919495	-3.00075
1919606	-3.753847
1919708	-3.38526
1919711	-3.38526
1919984	-3.037895
1919998	-4.701006
1920814	-3.086019
1920837	-3.046069
1920840	-3.046069
1921068	-3.046069
1921165	-3.046069
1921181	-3.046069
1921184	-4.040689
1921292	-2.998142
1921310	-2.998142
1921421	-2.998142
1921431	-2.998142
1922215	-3.1297
1926042	-3.067276
