bp	data_stats...col_RsbN...k.
285900	-3.179849
331710	-3.401589
332011	-3.112483
332972	-3.501631
699947	-3.572119
704809	-3.306305
708643	-3.362507
708956	-3.463973
711098	-3.219558
711193	-3.305103
711204	-3.305103
711737	-3.039507
711885	-3.147092
711922	-3.057362
711992	-4.753685
712009	-3.173141
712089	-3.173141
712172	-3.064867
715901	-3.720646
715904	-3.404341
746101	-3.180129
746134	-3.03992
746218	-3.03992
746422	-3.12909
746464	-3.0393
746489	-3.00997
746497	-3.00997
746554	-3.00997
746755	-3.326425
746910	-3.036507
747304	-3.068164
749590	-3.237607
749671	-3.518215
754725	-4.084646
767347	-3.875927
777200	-3.045917
802159	-3.531557
1093395	-3.712793
1093869	-3.32646
1094996	-3.521578
1163502	-3.771242
1164553	-4.022821
1256265	-3.033942
1314705	-3.039641
1375621	-5.271803
1375855	-3.108701
1382373	-3.826242
1383386	-3.183104
1387266	-3.295155
1448238	-3.43382
1448949	-3.385861
1448958	-3.080351
1449063	-3.436002
1449411	-3.443223
1449639	-3.307724
1449975	-4.039261
1450203	-4.041725
1450364	-3.498518
1450384	-4.070618
1450644	-3.741157
1451400	-3.605494
1452476	-3.721883
1452559	-3.720724
1452612	-4.377006
1453142	-4.189098
1453152	-3.965515
1453238	-3.688414
1453474	-3.558321
1453503	-3.209052
1453770	-3.582102
1453956	-3.731011
1463542	-3.0281
1498995	-3.134397
1499611	-3.292258
1803675	-3.499468
1817957	-3.235958
1822641	-3.927322
