Chr Pos BRG1 BRG2 BRG3 BRG4 BRG5 BRM1 BRM2 BRM3 BRM4 BRM5 BRM6 BRM7 BRM8 BRM9 BRM10 CHCA1 CHCA2 CHCA3 CHCA4 CHCA5 CHCA6 CHCA7 CHCA8 CHCA9 CHCA10 CHCA11 CHCA12 CHCA13 CHCA14 CHCA15 CHCU1 CHCU2 CHCU3 CHCU4 CHCU5 CHCU6 CHCU7 CHCU8 CHCU9 CHCU10 CHCU11 CHCU12 CHFR1 CHFR2 CHFR3 CHFR4 CHFR5 CHFR6 CHFR7 CHFR8 CHFR9 CHFR10 CHFR11 CHFR12 CHFR3.1 CHFR14 CHFR15 TXL1 TXL2 TXL3 TXL4
25 13233 0 0 9 0 0 0 0 1 0 0 9 1 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 9 0 0 0 0 0 0 9 0 9 0 0 0 0 0 0 0 9 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0
25 13621 0 0 0 0 0 0 0 1 0 0 9 0 0 0 0 0 9 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
25 18007 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 9 0 9 0 0 0 0 0 0 0 0 9 0 0 9 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0
25 18008 0 0 0 0 0 0 1 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 9 0 0 0 0 0 0 0 0 9 0 0 9 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0
25 18026 9 0 2 0 0 1 0 1 1 1 9 2 1 1 9 9 0 1 0 0 0 0 0 1 0 0 9 0 9 0 0 0 0 0 0 0 9 9 0 0 0 0 0 0 0 0 1 0 9 0 0 0 0 0 1 0 0 0 0 0 0
25 18370 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 9 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0
25 18485 0 1 1 9 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 9 0 9 0 0 0 9 1 0 0 0 1 1 9 0 0 9 9 0 0 0 0 0 0 1 0 1 1 1 0 0 9 1 0 0
25 26202 9 0 0 0 0 9 0 1 2 1 1 1 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 9 0 0 0 0 0 1 0 0 0 0 0 0 0 9 0 0 1 0 9 0 0 0 0 0 1 9 0 0 0 0 0
25 26204 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 9 0 0 0 0 0 0 0 9 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0
25 26213 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 9 0 0 0 0 0 9 0 0 0 0 0 0
25 26248 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 9 1 0 0 1 9 1 0 0 0 1 0 0 0 0 2 1 1 1 1 1 0 1 0 9 1 1 2 1 0 1 1 1 0 1 0 0
25 26714 1 0 0 0 0 0 1 1 1 1 0 0 0 1 0 0 0 0 0 9 0 0 0 9 0 0 0 0 0 0 0 9 0 0 0 9 0 0 0 0 0 0 9 0 0 0 0 0 9 0 0 9 0 0 0 0 0 0 0 0 0
25 26730 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 9 0 0 0 0 0 0 0 9 0 1 0 9 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0
25 26753 0 0 0 0 0 2 1 0 0 1 0 1 2 0 1 0 0 0 0 9 0 0 0 9 0 0 9 0 0 0 0 0 0 0 0 9 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
25 27025 0 0 1 0 0 9 1 0 0 1 0 1 2 0 1 0 0 0 0 0 0 0 0 0 0 9 1 9 0 9 0 0 0 0 0 9 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
25 27105 1 0 1 0 0 2 2 1 1 1 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 9 1 1 1 0 0 0 9 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 9 0 0
25 28389 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0
25 28423 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
25 28449 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 9 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 9 0
25 28467 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
25 28479 0 0 1 0 0 2 1 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0
25 28492 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0
25 30829 2 0 1 1 0 0 1 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 9 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 9 0 0 0 0 0 0 0 0 1 0 0 0
25 31047 1 0 0 9 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
25 31060 0 0 0 9 0 0 1 1 0 0 0 0 1 1 9 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
25 31100 0 0 0 0 0 0 1 1 0 9 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 1 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0
25 31516 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 9 9 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
25 31566 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
25 31567 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
25 31569 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
25 31585 1 0 1 0 0 2 2 2 1 2 0 1 2 2 2 0 0 0 0 0 0 0 0 0 9 0 0 0 9 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
25 35348 0 0 0 0 0 2 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 9 1 0 0 0 0 0 0 0 0 0 1 9 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
25 35349 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 9 0 0 0 0 0 0 0 9 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
25 37087 0 0 0 0 0 0 0 0 0 1 1 0 0 0 9 0 0 0 0 0 0 0 0 9 0 9 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 9 0 0 0 0 9 9 0 0 0 0 0 0 0 0 0 0 0 0
25 37092 0 0 0 0 0 0 0 0 0 1 1 0 0 0 9 0 0 0 0 0 0 0 0 9 0 9 0 0 9 0 0 0 0 0 0 0 0 9 0 0 0 0 9 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 9 0 0
25 37096 0 0 0 0 0 0 0 0 0 1 1 0 0 0 9 0 0 0 0 0 0 0 0 9 0 9 0 0 9 0 0 0 0 0 0 0 0 9 0 0 0 0 9 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0
