bp	data_stats...col_RsbN...k.
89168	-3.749066
89357	-3.25673
89519	-3.77385
90411	-3.157936
91321	-3.177807
91604	-3.17467
91748	-3.139927
91939	-3.444617
95973	-3.494135
96766	-3.229737
96987	-3.277248
97024	-3.227815
97206	-3.440795
109732	-3.686563
148308	-3.066105
148754	-3.929161
149151	-3.131066
149567	-4.658526
149575	-3.28584
149590	-3.28584
149623	-5.561849
182199	-3.00333
182373	-2.995996
285875	-3.008825
286153	-4.154181
332346	-3.219655
332451	-3.219655
332580	-3.230511
332816	-3.148093
332950	-3.148093
332956	-3.148093
1018881	-3.253397
1382264	-3.091737
1816498	-3.227579
1816527	-3.227579
1823417	-3.57468
1823537	-3.76463
1823847	-3.120298
1823854	-3.120298
1823905	-3.120298
1824517	-3.033069
1824738	-3.198742
1824775	-3.198742
1824891	-3.487513
1824942	-3.475669
1824965	-3.474945
1824976	-3.899899
1891148	-3.033033
1891222	-3.04211
1891244	-4.985326
1891310	-4.04867
1891342	-4.384847
1891558	-3.834918
1891577	-3.834918
1891787	-3.874868
1891846	-3.874868
2031837	-3.220153
2032454	-3.045542
2042739	-3.036104
2050569	-3.46504
2050801	-3.186917
2057963	-3.668065
2058014	-3.351624
2058054	-3.277573
2058184	-3.635483
2058193	-3.49565
2058495	-3.236854
2058508	-3.236854
2070101	-3.165267
2070157	-3.165267
2070206	-3.165267
