bp	data_stats...col_RsbN...k.
235121	-3.319751
280257	-3.153866
343389	-3.009803
454040	-3.814964
526913	-3.964087
604446	-3.191664
604648	-3.763645
708747	-3.342134
708850	-3.28633
708956	-3.442233
709047	-3.8701
709155	-4.912451
709180	-4.912451
709301	-4.042394
709336	-4.042394
709374	-4.042394
709647	-3.812671
709779	-3.976043
710199	-3.213678
710654	-3.50005
710775	-3.555998
710777	-3.532053
711052	-3.381494
711098	-3.106577
711123	-3.296108
711193	-3.039201
711204	-3.039201
711256	-3.639109
711885	-3.910543
711922	-3.854553
711990	-4.378039
712009	-3.962614
712089	-3.962614
733644	-4.662287
733687	-4.662757
1114579	-3.557657
1114669	-3.376357
1115237	-3.037067
1148694	-3.508043
1148939	-3.04114
1164553	-3.283125
1185783	-3.054604
1248473	-3.88893
1323135	-3.234829
1323162	-4.55682
1382373	-3.622629
1450384	-4.008167
1453142	-3.439271
1453143	-4.031229
1453152	-5.635639
1453171	-3.74645
1453238	-3.436673
1495418	-3.163643
1745123	-3.158787
1748502	-3.553454
1759447	-3.753207
1759674	-3.480639
1765842	-3.062126
1770896	-4.853865
1770908	-3.880604
1770975	-3.65257
1770993	-3.342953
1771337	-3.195335
1771752	-3.5475
1771813	-3.851875
1771824	-3.127188
1771969	-3.07465
1771982	-3.547437
1771986	-3.218705
1772326	-3.148988
1772437	-3.162301
1772443	-4.55298
1772460	-3.368626
1772464	-3.245276
1772469	-3.64273
1772946	-3.84811
1890956	3.026026
1891238	-5.351932
1940061	-3.744098
2006045	-4.24444
2006075	-4.335266
2033951	-3.362835
