bp	data_stats...col_RsbN...k.
89519	5.19038
89537	4.771516
90865	3.649518
90893	3.156608
90942	3.195889
91948	5.993352
96897	3.162589
96913	3.162589
96987	4.225152
97024	3.699157
97239	3.015571
268323	-3.045733
331996	-3.018174
427411	-3.502426
437386	-3.196334
473649	-4.6791
495839	-3.021696
497884	-6.757898
631361	4.750545
631366	5.149785
641004	3.0275
641103	3.37035
641149	3.218327
641227	3.303614
641288	3.565881
641301	3.840329
641312	3.840329
641351	3.848751
641370	3.108099
642812	3.361877
642814	3.290384
642823	3.290384
642883	3.504791
642996	3.862176
643028	3.872594
643029	3.924254
643360	3.624883
643403	3.624883
644342	3.225951
644406	3.011762
644648	3.522951
644820	4.319623
644911	4.187256
645085	3.136144
662060	3.858962
662142	3.175528
662621	3.254677
680507	3.156416
680684	3.343277
711123	-3.04238
711990	-3.095233
715901	3.977507
715904	4.002371
837613	-4.005311
837623	-4.005311
923361	4.523287
1014264	3.752723
1068964	3.61126
1068987	3.680426
1071359	3.940149
1077838	4.083664
1080818	3.019888
1080967	3.076459
1081798	3.974376
1081928	3.405977
1082046	4.496891
1082056	3.791496
1082308	3.948602
1082316	4.648232
1084964	3.528758
1086029	3.054922
1086275	4.150079
1086283	4.011666
1104573	3.297318
1104653	3.394948
1186902	3.306514
1187026	3.619866
1212434	3.359688
1212448	4.99676
1219913	4.450945
1248279	3.088602
1248443	3.386268
1317271	-3.072222
1365797	-4.063953
1365828	-4.465247
1365877	-4.482012
1460659	-3.892746
1460664	-3.072148
1494521	-4.31209
1494555	-4.31209
1494612	-3.218639
1496046	-3.303496
1496066	-3.362384
1496131	-3.290035
1496440	-3.235416
1499655	-3.150672
1499786	-3.018072
1499817	-3.018072
1499953	-4.525695
1499967	-4.582944
1499976	-4.549181
1524494	-3.938175
1735358	3.059948
1778229	3.183558
1984913	4.475669
1984916	4.396856
2042733	4.938615
2042739	4.833157
2058193	3.516157
2058495	3.566912
2058508	3.565562
2058589	3.269623
2058704	3.74857
2058713	6.030827
2058883	5.367708
2058887	6.243298
2062115	3.12281
2062153	3.42618
2072825	3.74157
