bp	data_stats...col_RsbN...k.
87801	3.490027
88599	3.535612
89013	3.71944
89168	3.665766
89357	4.031322
89519	3.706785
89537	3.503709
90865	3.243717
90893	3.566187
90942	3.487093
91338	3.349313
91406	3.792803
91461	3.792803
91604	3.78004
91748	3.902921
91937	3.562782
91939	4.196133
91948	3.322219
91978	3.320577
95973	3.201704
95987	3.353853
96766	3.236516
96771	3.284335
96897	3.371359
96913	3.285181
96987	3.57727
97024	3.839148
97240	3.01328
97494	3.01328
148269	3.54161
148308	3.125778
149567	3.256634
149575	3.318194
149590	3.318194
149623	4.620379
749590	-3.376873
749671	-3.353519
767149	-3.351542
767277	-3.351542
767286	-3.351542
767347	-4.050791
802159	-3.009297
1687261	-3.200107
1687290	-3.287744
1687431	-3.05877
1688067	-3.005577
1688129	-3.149369
1688546	-3.097456
2031837	3.005434
2058704	-3.424295
2058713	-3.276337
2058883	-3.442079
2058887	-3.432573
2058931	-3.705297
2058943	-3.522892
2059029	-3.223065
2059215	-3.633211
