bp	data_stats...col_RsbN...k.
89357	3.138091
89537	4.306469
96987	3.314843
97239	3.155706
97572	3.145011
97608	3.700186
136154	3.475075
149632	4.441942
149635	4.441942
427411	-3.926538
437386	-3.200268
455735	-3.263831
455737	-3.19631
473649	-4.556345
475217	-2.995984
495839	-3.179962
497884	-6.296429
631366	3.096739
638422	3.525902
641004	3.11642
641103	3.463274
641149	3.316395
641159	3.563818
641227	3.051238
641288	3.711955
641301	3.792337
641312	3.792337
641351	4.242839
642812	3.453072
642814	3.383997
642823	3.383997
642883	3.614794
642996	3.900871
643028	3.991824
643029	3.923468
643248	3.10033
643360	3.730821
643625	3.142179
644210	3.75495
644292	3.072645
644342	3.336429
644402	3.107345
644406	3.647567
644630	4.338366
644648	4.932912
644820	4.281789
644911	4.274164
644919	3.030458
645085	3.258622
645839	3.507593
646231	3.005948
647975	3.341974
648706	3.541753
650322	3.231978
652827	3.062034
653371	3.929683
656206	5.166225
656251	4.976756
658113	3.425718
661181	3.117766
661310	3.652933
661826	3.917135
661902	3.26314
661979	4.073827
662060	3.886148
662142	3.307853
662153	6.095472
662621	3.492632
680507	3.189703
686655	4.324202
686749	3.980088
686932	3.798264
686944	3.073813
686951	3.798264
687310	3.636296
687363	3.088255
687434	3.664602
687472	3.061855
687484	4.616092
687487	5.058292
711123	-3.59339
711990	-3.455057
711992	-3.070571
837613	-3.096376
837623	-3.23754
966692	-3.940681
1077854	3.108697
1080967	3.065779
1081766	3.704058
1082046	4.573321
1082056	3.891796
1082308	4.043586
1082316	4.71954
1090963	3.785542
1186902	3.685902
1187026	3.883908
1187081	3.052006
1365797	-3.444397
1365828	-3.832111
1410773	-3.721761
1460659	-3.924561
1460664	-3.946298
1494521	-3.642694
1494555	-3.795153
1499953	-3.790798
1499967	-3.753498
1499976	-3.720878
1524494	-3.041894
1735358	3.185004
1778229	3.204584
2038492	3.272766
2040654	3.430967
2042739	4.898208
2058704	3.762757
2058713	6.055349
2059029	3.000062
