bp	data_stats...col_RsbN...k.
86483	5.846803
86489	5.846803
88900	3.322717
89013	3.586705
89519	4.517489
89537	4.781477
90865	3.89847
90893	3.56857
90942	3.56857
96987	3.113626
136243	3.261767
136259	3.193702
136307	3.524366
149575	4.16834
149590	4.16834
326271	3.641931
326279	3.641931
329338	3.001077
361527	4.015139
361551	3.779896
638369	3.421606
638397	3.306633
638422	3.179392
641351	3.343606
642812	3.117874
642814	3.117874
642823	3.117874
642883	3.117874
642996	3.736699
643028	3.614036
643029	3.87311
643625	3.083266
645840	3.311115
656159	3.423492
656206	3.74858
680471	3.489444
680507	3.489444
686932	3.955736
686944	3.955736
686951	3.955736
704360	-3.013624
704493	-3.013624
704511	-3.013624
704536	-3.013624
704667	-3.013624
704781	-3.013624
708747	-3.52225
708850	-3.52225
708956	-3.469335
709047	-4.208484
709155	-4.823788
709180	-4.823788
709301	-3.363937
709336	-3.363937
709374	-3.363937
709779	-3.875832
709824	-3.068596
709864	-3.068596
709928	-3.068596
710199	-3.432326
710654	-3.665408
710775	-3.665408
710777	-3.546549
710823	-3.349851
711052	-3.057895
711098	-3.348651
711123	-3.320606
711193	-3.297716
711204	-3.297716
711256	-3.191379
711885	-3.943907
711922	-3.943907
711990	-4.116766
712009	-4.030513
712089	-4.030513
733628	-3.126593
733644	-5.129839
733687	-4.677167
847551	3.430524
847665	3.430524
847671	3.430524
1030762	3.208331
1030892	3.063904
1038052	3.147481
1038219	3.147481
1038255	3.147481
1042406	3.739138
1042478	3.183478
1068964	3.425133
1068987	3.563302
1068988	3.397626
1069015	3.136546
1069016	3.006651
1071359	4.786232
1071650	3.547093
1071665	3.423165
1071705	3.423165
1071728	3.423165
1071759	3.423165
1076193	3.005526
1076251	3.073596
1076344	3.073596
1076390	3.073596
1077580	3.431849
1077703	3.499567
1078508	3.369737
1078644	3.247237
1078645	3.812564
1080818	3.596272
1080864	3.201288
1080883	3.201288
1080917	3.487083
1080951	3.487083
1080967	3.345242
1081891	3.523054
1081928	3.378755
1082046	3.16722
1082056	3.16722
1082083	3.659555
1082308	4.947325
1082316	4.947325
1082607	4.728521
1082621	4.991503
1086029	3.104392
1086048	3.104392
1086078	3.102906
1086367	3.102906
1088266	3.762659
1088317	3.881364
1090995	3.312778
1091000	3.312778
1091012	3.312778
1248473	-3.419755
1449914	3.302394
1449975	3.813331
1463489	3.887733
1464406	3.223871
1464448	3.079002
1464502	3.055219
1464503	3.099212
1464514	3.164884
1495418	-3.234527
1892539	3.088429
1919451	3.188154
1919495	3.1575
1919497	3.1575
1919708	4.833431
1919711	4.833431
2042733	3.225527
2042739	3.106822
