bp	data_stats...col_RsbN...k.
235121	-3.449371
708850	-3.092836
709047	-3.204849
709155	-4.473363
709180	-4.209917
709301	-3.920477
709336	-3.920477
709374	-3.684413
709647	-3.070148
709779	-3.453417
710777	-3.028586
711098	-3.20595
711885	-3.231125
711922	-3.598102
711990	-3.193054
712009	-3.39841
712089	-3.39841
733644	-3.693014
733687	-3.860438
1042400	3.219443
1042478	3.217881
1042490	3.213275
1042505	3.689376
1042584	3.469122
1042589	3.365834
1114579	-4.00818
1114669	-4.107472
1114920	-3.680437
1114932	-3.35585
1115021	-3.448714
1115194	-4.095201
1148939	-3.048721
1149057	-3.093014
1185783	-3.036333
1453143	-3.302208
1453152	-4.319303
1453171	-3.038081
1550702	3.314712
1770896	-4.152101
1770908	-3.599761
1770993	-3.396334
1771338	-3.239073
1771374	-3.017737
1771739	-3.056921
1771813	-3.679352
1771835	-3.405518
1771986	-3.105583
1772039	-3.096484
1772194	-3.078749
1772365	-3.024369
1772437	-3.113901
1772443	-3.370899
1772460	-3.20586
1772464	-3.110872
1772469	-3.05897
1891238	-4.155523
1940061	-3.493986
2006045	-4.497723
2006075	-4.67732
2031837	-3.307377
2032162	-3.002235
2032585	-3.324327
2032601	-3.324327
2033770	-3.163436
2033803	-3.041988
2033951	-4.268337
2043278	-3.078345
2043303	-3.091621
2044072	-3.138271
2044079	-3.922611
2044173	-4.072156
2051396	-3.028729
2051907	-3.076047
