bp	data_stats...col_RsbN...k.
86483	6.930617
86489	6.930617
88900	4.584798
89013	4.794333
90893	3.086277
96897	3.365227
96913	3.367269
96987	3.677988
97024	3.677988
97239	3.01174
97240	3.129672
97494	3.129672
97548	3.129672
97572	3.009033
97608	3.094157
136243	4.969826
153868	3.440659
275724	3.1193
285312	3.049657
285592	3.423143
285840	3.775601
285882	3.734973
285900	3.5869
292782	3.549016
293161	3.193173
297207	3.480942
329309	3.08431
331080	3.016176
331996	4.199412
332011	3.749972
332541	3.790634
332972	3.676653
333191	3.836065
454040	6.074715
454063	3.877213
454130	3.70394
454338	3.728724
454405	3.517837
526913	3.113066
604648	5.222516
629084	3.282781
632630	3.98706
632645	3.98706
632663	3.98706
632792	3.98706
632848	3.959514
638312	5.172021
638369	4.545155
638397	5.199198
638422	4.487766
641149	3.030949
641227	4.686748
641288	4.686748
641301	4.686748
641312	4.73109
641588	3.046805
641661	3.120093
642291	3.148094
642343	3.148094
642523	3.148094
642550	3.148094
642551	3.148094
642567	3.148094
642588	3.873518
642812	5.17604
642814	5.17604
642823	5.17604
642883	5.238127
642996	5.819073
643028	5.702636
643029	5.941341
643360	5.533645
643403	5.533645
643901	4.403876
643917	4.704988
644049	4.522374
644210	4.191319
644292	4.396414
644342	4.338215
644402	4.338215
644630	6.252125
644648	6.193932
644919	4.318332
645085	4.318332
645467	4.09145
645839	3.756951
647975	3.246268
648690	3.476981
650261	3.029682
652903	3.515266
653223	3.613941
653371	3.541387
655676	4.076852
655885	4.189625
655892	4.076852
656159	5.809307
656206	5.478109
656496	3.429384
658112	3.079084
659446	3.57719
661826	3.0609
661902	3.240121
662060	3.107328
662142	3.227725
662153	3.107838
662161	3.107838
662613	3.107838
662621	3.129571
662843	3.576423
662968	3.183118
669382	3.08778
670195	3.08778
670471	3.724572
670558	3.724572
670779	3.724572
670829	3.724572
961643	3.210666
1891244	4.097084
1891248	3.820218
