bp	data_stats...col_RsbN...k.
326173	-3.176268
330169	-3.279127
331076	-3.193474
331278	-3.847861
425536	-3.314687
462543	-3.319132
1028695	-3.073227
1028782	-3.073227
1028792	-3.073227
1029806	-3.433138
1031013	-4.168148
1031760	-3.494889
1031769	-3.168968
1031933	-3.23051
1032164	-3.731396
1034469	-3.434
1042271	-3.066833
1042356	-3.765752
1042400	-4.310741
1042406	-3.622323
1042478	-4.322078
1042490	-4.903278
1042505	-4.789808
1042584	-4.738803
1042589	-4.834177
1090662	-3.012631
1090698	-3.130173
1090827	-3.001348
1090928	-3.154184
1090955	-3.521883
1090963	-3.844902
1090989	-3.844902
1091016	-3.680186
1550702	-3.461287
1886876	-3.053627
1887206	-3.52451
1887597	-3.308862
1887839	-3.311299
1887840	-3.311299
1891222	-3.843679
1891235	-4.295659
1891238	-4.295659
1891244	-4.262479
1891248	-4.557219
1891310	-3.366432
1891342	-4.221153
1891383	-3.175243
1891485	-3.436239
1891558	-3.688358
1891577	-3.117405
1891613	-3.453428
1891787	-3.360053
1891846	-3.303791
1891849	-3.934163
1891970	-4.156376
1891978	-3.345741
1892107	-2.999591
1892272	-3.45628
1892332	-3.017888
1892393	-3.048692
1892526	-3.215604
1892539	-3.468292
1892552	-3.073634
1892711	-3.04496
1901415	-3.085712
1902174	-3.404737
1902418	-3.179812
1902423	-3.673199
1902425	-3.227897
1902593	-3.39035
1902699	-3.032156
1902734	-3.016591
1902756	-3.213823
1903119	-3.123471
1903272	-3.109995
1903280	-3.109995
1903538	-3.339606
1903568	-3.449215
1903577	-3.449215
1903587	-3.229632
1903635	-3.284501
1903715	-3.118452
1905186	-3.471847
1905460	-3.3085
1905658	-3.3085
1905685	-3.758389
1905900	-3.108933
1905940	-3.801476
1905977	-3.884009
1906030	-3.565122
1906036	-3.067743
1906123	-3.464752
1906165	-3.464752
1906364	-3.521073
1906368	-3.103621
1906378	-3.853925
1906395	-3.462742
1906400	-3.5801
