bp	data_stats...col_RsbN...k.
89519	-5.269572
91948	-6.100179
96897	-3.053832
96913	-3.420245
136154	4.520908
149623	-5.176248
149632	4.888811
149635	4.888811
159357	-4.342023
286153	-4.171086
332580	-3.081284
361612	6.403813
389927	-3.438584
390021	-3.44764
498024	-3.271531
498066	-3.195826
498359	-3.052812
498364	-3.052812
498380	-3.032744
498413	-3.032744
498430	-3.032744
526913	-3.085705
604446	3.244477
631361	-3.48552
631366	-3.404222
644630	3.041277
645839	4.381334
647975	3.250001
648706	3.614105
653371	5.080398
655901	3.658459
656206	6.511649
656251	6.999089
686655	3.995576
686749	3.721752
686932	3.085572
686944	3.085572
686951	3.085572
687310	4.689975
687484	5.399152
687487	5.382019
711193	-7.936465
711204	-7.936465
711737	-3.844266
711885	-4.568856
711922	-4.418643
712009	-5.154444
712089	-5.072095
712172	-5.63916
713524	-3.070794
715901	-9.58889
715904	-9.537725
720849	-3.186681
720899	-3.117974
721099	-3.036607
721550	-3.036607
723891	-3.974559
733247	-4.125176
733687	-4.043138
734561	-3.008047
734628	-3.008047
734667	-4.390402
734759	-4.227068
734912	-4.309181
735236	-3.332654
735240	-3.332654
735438	-3.247834
735455	-3.282744
735812	-3.3331
735817	-3.354471
735874	-6.500186
735912	-4.748705
735913	-4.748705
737418	-4.090463
737451	-4.007635
737453	-4.176289
737570	-4.088762
737725	-4.006502
746101	-3.0981
746134	-3.017352
746218	-3.017352
746422	-3.098106
746464	-3.015304
746489	-3.207118
746497	-3.207118
746554	-3.11035
746755	-3.25981
746910	-3.187271
747296	-3.258533
747304	-3.341152
747348	-3.161536
747410	-3.200009
747737	-3.200009
749671	-4.476135
751659	-4.636548
751815	-4.717673
758793	-3.922173
759136	-3.891681
767149	-3.553556
767277	-3.553556
767286	-3.553556
767347	-3.488234
767533	-3.556212
767832	-3.073499
768763	-3.531772
768927	-3.531772
801983	-4.745291
802027	-4.491558
802164	-6.023476
802991	-5.277341
803006	-5.162265
803063	-5.111101
923361	-9.010041
960893	-3.337204
961364	-3.412702
961672	-3.512641
962059	-3.073741
996597	-3.866272
996607	-3.787218
996690	-3.398731
996699	-3.398731
996761	-6.699655
1014264	-4.607042
1068964	-3.982672
1068987	-3.900864
1069015	-4.295793
1071359	-3.063667
1077838	-6.178762
1080883	-4.013557
1081798	-4.608559
1084964	-4.718238
1086283	-3.134917
1104297	-3.539102
1104311	-3.422931
1104437	-3.422931
1104442	-3.422931
1104449	-3.422931
1104573	-4.226176
1104584	-4.226176
1104594	-4.226176
1104653	-4.226176
1186380	3.332546
1212448	-6.236034
1219913	-5.441455
1247245	-3.231441
1248443	-4.556621
1286790	-3.069063
1288454	-3.907307
1302681	-4.375064
1302699	-4.541818
1303027	-4.164385
1303093	-4.751539
1303128	-4.672178
1303230	-3.332616
1303253	-4.456713
1306186	-3.681379
1314111	-3.261579
1365877	3.170251
1452611	-3.514689
1453143	-5.425986
1453420	-3.636757
1453472	-3.337473
1453474	-5.421436
1453503	-5.686995
1453544	-3.698856
1464644	-4.393482
1465951	4.64265
1591052	-5.048384
1823235	-3.13738
1984913	-7.055066
1984916	-6.973761
2004613	-3.444082
2042733	-3.392702
