bp	data_stats...col_RsbN...k.
89013	3.094292
89357	3.289338
90865	3.829694
96987	3.140259
97239	3.093853
97572	3.094321
268323	-3.066587
268366	-3.040785
427411	-3.540795
437386	-3.544235
447367	-3.2158
455735	-3.200662
455737	-3.25577
473649	-4.528428
495839	-3.006006
497884	-6.72491
630305	3.061979
631315	3.022819
631366	3.180618
631407	5.032956
638369	3.371659
638397	3.339852
641004	3.060993
641103	3.47088
641149	3.312878
641159	3.695478
641288	3.55452
641301	3.584749
641312	3.584749
641351	3.212433
641661	3.009173
642343	3.005108
642567	3.016543
642588	3.775976
642682	3.775976
642812	3.565873
642814	3.492282
642823	3.492282
642883	3.740557
643917	4.079379
644049	4.079379
644073	3.301769
644210	3.590694
644292	3.156635
644342	3.168022
644648	3.168988
644820	3.023451
648690	5.094244
659326	3.338542
661181	3.211062
661310	3.788626
661826	3.467205
661902	3.126161
661979	3.145545
662060	3.457016
662153	4.893665
686655	3.442468
686749	4.886076
686932	3.731716
686951	3.731716
687434	3.320905
694195	4.033214
711123	-4.179576
711990	-3.264663
837613	-3.128577
837623	-3.263913
966692	-4.614928
996761	-3.208738
1184113	3.052319
1184882	3.262243
1184962	4.927225
1185011	5.366478
1185025	3.169942
1185174	3.829486
1185203	3.097771
1185235	3.229499
1185585	3.014534
1185643	3.014534
1185750	3.167275
1185768	3.010258
1185783	3.059359
1185811	3.283559
1186139	3.048084
1186837	3.506814
1186902	4.282679
1187026	4.229199
1187081	3.922735
1187970	3.012466
1317271	-3.014799
1365797	-3.931083
1365828	-4.34816
1365877	-4.365745
1410773	-3.992202
1460659	-4.067088
1460664	-4.078261
1494521	-3.486117
1494555	-3.625503
1499953	-3.626508
1499967	-3.646205
1499976	-3.611114
1524494	-3.376071
1620941	-3.616625
1778229	3.238765
1885114	4.33151
1940651	3.926546
1948884	3.172234
1951322	3.108244
1960943	3.503901
1960946	3.788088
1984913	4.701897
1984916	4.64404
1984926	5.188327
2016681	3.937197
2016786	3.04435
2017081	3.362283
2030800	5.422112
2038492	3.379439
2043072	3.747703
2058704	3.37287
2058713	3.727782
2058943	3.08542
2072825	2.998471
