Position	iES_BRG	iES_BRM	iES_CHCU	iES_CHCA	iES_CHFR	iES_TXL	log(iES_BRG)	log(iES_BRM)	log(iES_CHCU)	log(iES_CHCA)	log(iES_CHFR)	log(iES_TXL)	Rsb(BRG/BRM)	Rsb(BRG/CHCU)	Rsb(BRG/CHCA)	Rsb(BRG/CHFR)	Rsb(BRG/TXL)	Rsb(BRM/CHCU)	Rsb(BRM/CHCA)	Rsb(BRM/CHFR)	Rsb(BRM/TXL)	Rsb(CHCU/CHCA)	Rsb(CHCU/CHFR)	Rsb(CHCU/TXL)	Rsb(CHCA/CHFR)	Rsb(CHCA/TXL)	Rsb(CHFR/TXL)	RsbN(BRG/BRM)	RsbN(BRG/CHCU)	RsbN(BRG/CHCA)	RsbN(BRG/CHFR)	RsbN(BRG/TXL)	RsbN(BRM/CHCU)	RsbN(BRM/CHCA)	RsbN(BRM/CHFR)	RsbN(BRM/TXL)	RsbN(CHCU/CHCA)	RsbN(CHCU/CHFR)	RsbN(CHCU/TXL)	RsbN(CHCA/CHFR)	RsbN(CHCA/TXL)	RsbN(CHFR/TXL)	
13233.000000	10378.700000	6412.750000	23161.666667	12597.208333	10650.800000	35416.375000	9.247511	8.766043	10.050254	9.441231	9.273390	10.474930	0.481467	-0.802743	-0.193720	-0.025879	-1.227419	-1.284210	-0.675187	-0.507347	-1.708886	0.609023	0.776864	-0.424676	0.167840	-1.033699	-1.201539	-0.930332	-2.210273	-1.350362	0.993856	-2.371265	-0.009893	-0.013068	1.188088	-0.398760	0.000000	2.884341	-1.683383	1.414987	-0.933215	-2.850737	
13621.000000	10378.700000	6690.944444	23161.666667	12597.208333	10650.800000	35416.375000	9.247511	8.808510	10.050254	9.441231	9.273390	10.474930	0.439001	-0.802743	-0.193720	-0.025879	-1.227419	-1.241744	-0.632720	-0.464880	-1.666419	0.609023	0.776864	-0.424676	0.167840	-1.033699	-1.201539	-1.010223	-2.210273	-1.350362	0.993856	-2.371265	0.069557	0.053090	1.257800	-0.331001	0.000000	2.884341	-1.683383	1.414987	-0.933215	-2.850737	
18007.000000	10378.700000	6242.150000	23161.666667	12597.208333	10650.800000	35416.375000	9.247511	8.739080	10.050254	9.441231	9.273390	10.474930	0.508431	-0.802743	-0.193720	-0.025879	-1.227419	-1.311174	-0.702151	-0.534310	-1.735850	0.609023	0.776864	-0.424676	0.167840	-1.033699	-1.201539	-0.879606	-2.210273	-1.350362	0.993856	-2.371265	-0.060339	-0.055074	1.143826	-0.441783	0.000000	2.884341	-1.683383	1.414987	-0.933215	-2.850737	
18008.000000	10378.700000	6405.222222	23161.666667	12597.208333	10650.800000	35416.375000	9.247511	8.764869	10.050254	9.441231	9.273390	10.474930	0.482642	-0.802743	-0.193720	-0.025879	-1.227419	-1.285385	-0.676362	-0.508521	-1.710061	0.609023	0.776864	-0.424676	0.167840	-1.033699	-1.201539	-0.928122	-2.210273	-1.350362	0.993856	-2.371265	-0.012091	-0.014898	1.186160	-0.400635	0.000000	2.884341	-1.683383	1.414987	-0.933215	-2.850737	
18026.000000	10378.700000	9997.000000	25989.000000	12597.208333	11553.384615	35416.375000	9.247511	9.210040	10.165429	9.441231	9.354734	10.474930	0.037471	-0.917918	-0.193720	-0.107223	-1.227419	-0.955388	-0.231190	-0.144693	-1.264889	0.724198	0.810695	-0.309501	0.086497	-1.033699	-1.120196	-1.765612	-2.714778	-1.350362	0.556761	-2.371265	0.605295	0.678622	1.783403	0.309669	0.308763	3.017864	-1.068327	1.249964	-0.933215	-2.629056	
18370.000000	10378.700000	8993.300000	23076.533333	12597.208333	10304.600000	35416.375000	9.247511	9.104235	10.046572	9.441231	9.240346	10.474930	0.143276	-0.799061	-0.193720	0.007165	-1.227419	-0.942336	-0.336995	-0.136111	-1.370694	0.605341	0.806226	-0.428358	0.200885	-1.033699	-1.234584	-1.566563	-2.194143	-1.350362	1.171420	-2.371265	0.629714	0.513791	1.797492	0.140849	-0.009872	3.000226	-1.703048	1.482025	-0.933215	-2.940791	
18485.000000	13834.833333	8993.300000	23076.533333	15064.777778	12614.181818	45490.333333	9.534945	9.104235	10.046572	9.620115	9.442577	10.725255	0.430710	-0.511627	-0.085170	0.092368	-1.190310	-0.942336	-0.515880	-0.338342	-1.621020	0.426457	0.603995	-0.678684	0.177538	-1.105140	-1.282678	-1.025821	-0.935084	-1.088758	1.629252	-2.262121	0.629714	0.235112	1.465519	-0.258564	-0.489428	2.202076	-3.039835	1.434660	-1.119435	-3.071860	
26202.000000	22535.200000	11893.900000	27395.541667	12695.181818	20556.384615	35089.500000	10.022834	9.383781	10.218136	9.448978	9.930927	10.465657	0.639053	-0.195302	0.573856	0.091907	-0.442823	-0.834355	-0.065197	-0.547146	-1.081876	0.769158	0.287209	-0.247522	-0.481949	-1.016679	-0.534730	-0.633870	0.450528	0.499491	1.626775	-0.063589	0.831736	0.937218	1.122756	0.601680	0.429291	0.951812	-0.737346	0.096747	-0.888851	-1.033521	
26204.000000	22535.200000	7113.500000	26560.633333	11660.416667	17819.200000	35089.500000	10.022834	8.869750	10.187185	9.363955	9.788032	10.465657	1.153084	-0.164352	0.658879	0.234802	-0.442823	-1.317436	-0.494206	-0.918282	-1.595908	0.823230	0.399154	-0.278472	-0.424077	-1.101702	-0.677625	0.333165	0.586100	0.704395	2.394615	-0.063589	-0.072054	0.268878	0.513515	-0.218495	0.574250	1.393627	-0.902626	0.214154	-1.110472	-1.422945	
26213.000000	22535.200000	7113.500000	26560.633333	11660.416667	17819.200000	35089.500000	10.022834	8.869750	10.187185	9.363955	9.788032	10.465657	1.153084	-0.164352	0.658879	0.234802	-0.442823	-1.317436	-0.494206	-0.918282	-1.595908	0.823230	0.399154	-0.278472	-0.424077	-1.101702	-0.677625	0.333165	0.586100	0.704395	2.394615	-0.063589	-0.072054	0.268878	0.513515	-0.218495	0.574250	1.393627	-0.902626	0.214154	-1.110472	-1.422945	
