bp	data_stats...col_RsbN...k.
89519	4.630177
89537	4.949073
90865	4.019595
90893	3.625587
90942	3.666181
91948	5.129468
96897	3.172442
96913	3.172442
96987	4.27548
97024	4.212884
97239	3.020276
97572	2.997966
136243	3.472371
149623	3.470028
235121	-3.246367
250316	-3.040791
280257	-3.385577
343389	-3.121156
631361	5.000468
631366	5.000468
709155	-3.628675
709180	-3.568861
711052	-3.125196
711123	-3.125196
711256	-3.266339
711990	-3.987965
715901	4.132733
715904	4.102705
801983	3.348437
802027	3.298435
802164	4.240999
802991	3.684191
803006	3.714219
803063	3.684191
847551	3.268369
847665	3.268369
847671	3.268369
923361	6.381984
925735	3.031217
960893	3.081364
961364	3.019973
996597	4.077237
996607	3.920257
996690	3.645279
996699	3.645279
996761	4.638639
1014264	3.521061
1030762	3.376329
1042406	3.557892
1042478	3.733964
1042490	3.385847
1042505	3.690556
1042584	3.634026
1045151	3.321896
1045157	3.321896
1045169	3.379831
1068964	4.422946
1068987	4.571643
1069015	3.198075
1071218	3.032946
1071223	3.032946
1071359	4.834836
1071650	3.696068
1071665	3.581298
1071705	3.581298
1071759	3.920365
1076251	3.130252
1076344	3.1502
1076390	3.1502
1077838	4.107041
1080818	3.431958
1080917	3.107645
1080951	3.127924
1081798	3.611338
1081891	3.511222
1081928	3.158031
1082046	4.081118
1082056	4.081118
1082308	4.239789
1082316	4.239789
1084964	3.636379
1085282	3.095112
1085323	3.095112
1086029	3.779647
1086048	3.622764
1086275	4.23553
1086283	4.390654
1088266	3.007944
1088317	3.007944
1094775	3.231227
1094807	3.231227
1212448	3.383374
1219913	3.164225
1365829	-3.219923
1365841	-3.219923
1453143	3.760705
1453474	3.301269
1453503	3.301269
1462378	3.046832
1462382	4.312544
1462401	4.312544
1463499	3.553666
1463542	3.748697
1464373	2.99605
1464406	3.308265
1464448	3.04282
1464502	3.371417
1464503	3.092441
1464644	3.109966
1495418	-3.383935
1499953	-5.545543
1591052	4.133876
1770975	-3.120425
1771338	-3.028913
1771752	-3.299073
1771813	-3.546867
1771982	-3.237456
1771986	-3.207057
1772437	-3.005632
1772443	-3.533085
1772460	-3.244299
1772464	-3.080733
1772469	-3.306607
1772946	-3.012157
1891238	-4.296456
1892393	3.286165
1940061	-3.709417
1984913	4.101448
1984916	4.101448
2006045	-3.836952
2006075	-3.692295
2042733	3.074056
2042739	3.034694
