bp	data_stats...col_RsbN...k.
89013	3.469471
89357	3.477805
90865	4.645827
90893	3.023112
90942	3.023112
153928	3.693182
160101	3.070109
235121	-3.859282
246782	-3.017001
250316	-3.190432
278028	-3.244733
280257	-3.55444
318295	-3.403181
343389	-3.906856
526913	-3.581544
630620	3.075194
631361	3.281341
631366	3.281341
638397	4.963128
642588	3.129478
644292	3.125454
644342	3.156991
644402	3.156991
662153	3.25195
686749	3.162952
709047	-3.013208
709155	-4.062552
709180	-4.099365
710777	-3.420019
711052	-3.356336
711123	-3.574903
711256	-3.737794
711990	-4.344393
733644	-4.888147
1090995	3.266583
1091000	3.266583
1091012	3.266583
1099613	3.601408
1101956	3.241657
1103175	3.332275
1103291	3.247357
1103343	3.135241
1103387	3.174086
1185011	3.293709
1248473	-3.995374
1382373	-3.04271
1448958	3.258174
1462378	3.032522
1462382	4.062967
1462401	4.062967
1462507	3.584643
1462557	3.042427
1462673	3.129579
1462682	3.278945
1462694	3.071242
1462758	3.275711
1462795	3.073828
1462834	3.288051
1463011	3.124916
1463021	3.124916
1463289	3.448582
1463426	4.72373
1463447	4.689
1463449	4.778705
1463453	4.781196
1463499	3.149684
1463542	3.010471
1464406	4.545118
1464448	4.371326
1464503	3.917417
1464514	3.776602
1464578	3.666514
1464615	3.661796
1464804	4.547616
1464811	4.547616
1771813	-3.246625
1771982	-3.177724
1772443	-3.304784
1772460	-3.094715
1885114	4.41814
1891238	-4.463363
1892601	3.126913
1940061	-3.937099
1984913	4.771656
1984916	4.771656
1984926	5.011767
2006045	-4.677664
2006075	-4.677664
2033951	-3.285454
